Giocatore,Campione
xiaolaohu,Camille
xiaolaohu,Gnar
xiaolaohu,Aatrox
xiaolaohu,Jayce
Beichuan,Xin Zhao
Beichuan,Diana
Beichuan,Nidalee
Gori,Akali
Gori,Orianna
Gori,Ryze
Gori,Sett
Lwx,Kai'Sa
Lwx,Varus
Lwx,Aphelios
Lwx,Caitlyn
Lwx,Ezreal
Hang,Nautilus
Hang,Tahm Kench
Hang,Braum
Hang,Alistar
Hang,Rakan
Lele,Thresh
Summit,Aatrox
Summit,Jayce
Summit,Gnar
Blaber,Lee Sin
Blaber,Gragas
Blaber,Kindred
Fudge,Camille
Fudge,Gangplank
Zven,Ezreal
Zven,Varus
Zven,Sivir
Zven,Kai'Sa
Jankos,Lee Sin
Jankos,Elise
Jankos,Gragas
Jankos,Rek'Sai
caPs,Syndra
caPs,Ryze
caPs,LeBlanc
caPs,Orianna
caPs,Zoe
Upset,Ezreal
Upset,Kai'sa
Upset,Tristana
Upset,Xayah
Faker,Azir
Faker,Ryze
Faker,LeBlanc
Faker,Orianna
ShowMaker,Zoe
ShowMaker,Syndra
ShowMaker,Akali
Scout,Azir
Scout,Irelia
Scout,Zoe
Scout,Orianna
Viper,Ezreal
Viper,Kai'Sa
Viper,Lucian
Viper,Kalista
